Old School ID,School ID
a1NC0000001H98dMAC,a08C000000IBy3f
a1NC0000001H98iMAC,a08C000000IBy3g
a1NC0000001H98sMAC,a08C000000IBy3h
a1NC0000001H98xMAC,a08C000000IBy3i
a1NC0000001H992MAC,a08C000000IBy3j
a1NC0000001H99CMAS,a08C000000IBy3k
a1NC0000001Ga66MAC,a08C000000IBy2L
a1NC0000001Ga6BMAS,a08C000000IBy2M
a1NC0000001Ga6GMAS,a08C000000IBy2N
a1NC0000001Ga6QMAS,a08C000000IBy2O
a1NC0000001Ga6aMAC,a08C000000IBy2P
a1NC0000001HNxkMAG,a08C000000IBy68
a1NC0000001HNxpMAG,a08C000000IBy69
a1NC0000001HNxuMAG,a08C000000IBy6A
a1NC0000001HNxzMAG,a08C000000IBy6B
a1NC0000001HNy4MAG,a08C000000IBy6C
a1NC0000001GQ5KMAW,a08C000000IBy0F
a1NC0000001GQ5PMAW,a08C000000IBy0G
a1NC0000001GQ5UMAW,a08C000000IBy0H
a1NC0000001GQ5ZMAW,a08C000000IBy0I
a1NC0000001GQ5eMAG,a08C000000IBy0J
a1NC0000000YIlxMAG,a08C000000IBxEU
a1NC0000000YIlyMAG,a08C000000IBxEV
a1NC0000000YIlzMAG,a08C000000IBxEW
a1NC0000000YIm0MAG,a08C000000IBxEX
a1NC0000000YIm1MAG,a08C000000IBxEY
a1NC0000000YIm2MAG,a08C000000IBxEZ
a1NC0000000YJICMA4,a08C000000IBxjY
a1NC0000000YJIFMA4,a08C000000IBxjb
a1NC0000000YIlMMAW,a08C000000IBxDt
a1NC0000000YIlNMAW,a08C000000IBxDu
a1NC0000000YIlOMAW,a08C000000IBxDv
a1NC0000000YIlPMAW,a08C000000IBxDw
a1NC0000000YIlQMAW,a08C000000IBxDx
a1NC0000000YIlRMAW,a08C000000IBxDy
a1NC0000000YIlSMAW,a08C000000IBxDz
a1NC0000001GRHoMAO,a08C000000IBy27
a1NC0000001GRHtMAO,a08C000000IBy28
a1NC0000001GRHyMAO,a08C000000IBy29
a1NC0000001GRI3MAO,a08C000000IBy2A
a1NC0000001GRI8MAO,a08C000000IBy2B
a1NC0000001GnaGMAS,a08C000000IBy2o
a1NC0000001GnaHMAS,a08C000000IBy2p
a1NC0000001GnaLMAS,a08C000000IBy2q
a1NC0000001GnaQMAS,a08C000000IBy2r
a1NC0000001GnaVMAS,a08C000000IBy2s
a1NC0000001HN5MMAW,a08C000000IBy4r
a1NC0000001HN5RMAW,a08C000000IBy4s
a1NC0000000YJJaMAO,a08C000000IBxkw
a1NC0000000YJJlMAO,a08C000000IBxl7
a1NC0000000YJJXMA4,a08C000000IBxkt
a1NC0000000YJJYMA4,a08C000000IBxku
a1NC0000000YJJZMA4,a08C000000IBxkv
a1NC0000000YIljMAG,a08C000000IBxEG
a1NC0000000YIlkMAG,a08C000000IBxEH
a1NC0000001HCJQMA4,a08C000000IBy4W
a1NC0000001HCKJMA4,a08C000000IBy4X
a1NC0000001HCKOMA4,a08C000000IBy4Y
a1NC0000001HCKPMA4,a08C000000IBy4Z
a1NC0000001HCKTMA4,a08C000000IBy4a
a1NC0000001HCKYMA4,a08C000000IBy4b
a1NC0000001HCKdMAO,a08C000000IBy4c
a1NC0000001HCKiMAO,a08C000000IBy4d
a1NC0000001HCKnMAO,a08C000000IBy4e
a1NC0000001HCKsMAO,a08C000000IBy4f
a1NC0000001HNnTMAW,a08C000000IBy5n
a1NC0000001HNobMAG,a08C000000IBy5o
a1NC0000001HNszMAG,a08C000000IBy5p
a1NC0000001HNt4MAG,a08C000000IBy5q
